queen.feint	queen	feint	basic	Feint	Leans one way, cuts back the other and fires.	30	800	0-7-2	wins:4	150		mirror	1
queen.volley	queen	volley	basic	Volley	Four rounds in a row from a standing ship.	40	900	0-1-2-4-7	wins:5	150			4
queen.slalom	queen	slalom	advanced	Slalom	Weaves across the enemy's altitude, firing throughout.	45	1600	0-1-2-4-6-7-8	wins:7	400		mirror	8
queen.dash	queen	dash	advanced	Dash	Crosses the arena at the enemy's altitude, firing.	40	1000	0-4-8	wins:9	400	0.2-0.5	mirror	3
queen.shadow	queen	shadow	advanced	Shadow	Sticks to the enemy wherever it goes, firing steadily.	45	2000	0-1-2-4-6	wins:11	400			6
queen.overdrive	queen	overdrive	advanced	Overdrive	Keeps the helm, but the guns run hot for three seconds.	35	3000	2-3-4-5-6	wins:13	400		control	0
queen.loop	queen	loop	signature	Loop	Over the top and down; shots pass under the ship.	50	1800	1-2-5-8-7-6-3-0	wins:16	900	0.25-0.55		2
queen.spiral	queen	spiral	pack	Corkscrew	Climbs and dives through a rolling spiral.	50	1500	4-1-2-5-8-7-6-3	pack:ace		0.3-0.7		2
queen.signature	queen	signature	signature	Royal Waltz	Sweeps the whole arena on the enemy's altitude.	60	1800	6-3-0-1-2-5-8	wins:20	900	0.15-0.4	mirror	6
king.sidestep	king	sidestep	starter	Sidestep	A quick step aside, matching the enemy's altitude.	30	650	3-4-5	starter			mirror	0
king.strike	king	strike	starter	Strike	Climbs onto the enemy, fires twice and drops back.	40	1170	7-4-1	starter				2
king.retreat	king	retreat	basic	Retreat	Falls back to its own edge behind a shield.	25	1300	1-4-7	wins:2	150		shield	0
king.roll	king	roll	basic	Barrel Roll	Rolls out of the way; shots pass through.	35	910	1-5-7-3	wins:3	150	0.15-0.65	mirror	0
king.feint	king	feint	basic	Feint	Leans one way, cuts back the other and fires.	35	1040	0-7-2	wins:4	150		mirror	1
king.volley	king	volley	basic	Volley	Four rounds in a row from a standing ship.	45	1170	0-1-2-4-7	wins:5	150			4
king.slalom	king	slalom	advanced	Slalom	Weaves across the enemy's altitude, firing throughout.	50	2080	0-1-2-4-6-7-8	wins:7	400		mirror	8
king.dash	king	dash	advanced	Dash	Crosses the arena at the enemy's altitude, firing.	45	1300	0-4-8	wins:9	400	0.2-0.5	mirror	3
king.shadow	king	shadow	advanced	Shadow	Sticks to the enemy wherever it goes, firing steadily.	50	2600	0-1-2-4-6	wins:11	400			6
king.overdrive	king	overdrive	advanced	Overdrive	Keeps the helm, but the guns run hot for three seconds.	40	3900	2-3-4-5-6	wins:13	400		control	0
king.signature	king	signature	signature	Crown	Holds the line behind a shield, every battery firing.	65	2080	6-3-0-4-2-5-8	wins:20	900		shield	6
